Unnamed_0,방광암세포주,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9
화합물 번호,KU-19-19,253J,5637.0,J82,T24,MBT-2,UM-UC-3,,
1.0,1.94 μM,1.35 μM,1.67 μM,> 2 μM,1.34 μM,1.19 μM,1.51 μM,,
2.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
3.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
4.0,1.05 μM,1.00 μM,1.91 μM,> 2 μM,1.31 μM,0.96 μM,1.33 μM,,
5.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
6.0,> 2 μM,1.22 μM,1.69 μM,> 2 μM,1.42 μM,1.44 μM,1.46 μM,,
7.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
8.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
9.0,1.97 μM,1.10 μM,1.63 μM,> 2 μM,1.16 μM,1.20 μM,1.18 μM,,
10.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
11.0,> 2 μM,1.41 μM,> 2 μM,> 2 μM,1.83 μM,> 2 μM,1.49 μM,,
12.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
13.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
14.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
15.0,1.91 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
16.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
17.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
18.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
19.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
20.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
21.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
22.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
23.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
24.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
25.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
26.0,> 2 μM,> 2 μM,1.60 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
27.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
28.0,1.46 μM,0.74 μM,1.03 μM,1.33 μM,0.82 μM,0.79 μM,0.79 μM,,
29.0,1.68 μM,0.96 μM,1.33 μM,> 2 μM,1.09 μM,1.20 μM,1.13 μM,,
30.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
31.0,1.45 μM,0.89 μM,1.23 μM,1.38 μM,1.12 μM,1.28 μM,1.02 μM,,
32.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
33.0,1.42 μM,1.39 μM,> 2 μM,> 2 μM,1.03 μM,0.90 μM,1.11 μM,,
34.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
35.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
36.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.28 μM,> 2 μM,,
37.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
38.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
39.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
40.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
41.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
42.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.89 μM,,
43.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
44.0,1.27 μM,1.24 μM,1.35 μM,2.07 μM,0.92 μM,1.15 μM,0.97 μM,,
45.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
46.0,1.80 μM,1.96 μM,1.77 μM,> 2 μM,1.57 μM,1.84 μM,1.22 μM,,
47.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
48.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.82 μM,,
49.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
50.0,1.69 μM,1.43 μM,1.47 μM,> 2 μM,1.43 μM,1.58 μM,1.26 μM,,
51.0,1.26 μM,1.13 μM,1.07 μM,> 2 μM,0.89 μM,0.76 μM,0.63 μM,,
52.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
53.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
54.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
55.0,1.38 μM,1.33 μM,> 2 μM,> 2 μM,1.54 μM,> 2 μM,1.58 μM,,
56.0,0.90 μM,1.11 μM,> 2 μM,1.46 μM,0.98 μM,1.18 μM,1.25 μM,,
57.0,1.83 μM,1.92 μM,> 2 μM,> 2 μM,1.79 μM,> 2 μM,> 2 μM,,
58.0,0.92 μM,0.92 μM,> 2 μM,> 2 μM,0.82 μM,0.86 μM,1.22 μM,,
59.0,1.23 μM,1.14 μM,> 2 μM,> 2 μM,1.11 μM,1.30 μM,1.37 μM,,
60.0,1.56 μM,1.71 μM,> 2 μM,> 2 μM,1.72 μM,> 2 μM,> 2 μM,,
61.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
62.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
63.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
64.0,1.41 μM,0.95 μM,1.52 μM,1.96 μM,1.04 μM,0.84 μM,1.06 μM,,
65.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
66.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
67.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
68.0,1.25 μM,0.97 μM,1.46 μM,1.49 μM,1.47 μM,1.07 μM,1.11 μM,,
69.0,1.50 μM,1.08 μM,1.62 μM,1.89 μM,1.50 μM,1.26 μM,1.20 μM,,
70.0,1.75 μM,1.04 μM,1.73 μM,1.94 μM,1.69 μM,1.33 μM,1.26 μM,,
71.0,1.60 μM,1.11 μM,1.51 μM,1.98 μM,1.39 μM,1.47 μM,1.61 μM,,
72.0,1.37 μM,0.83 μM,1.64 μM,1.63 μM,1.25 μM,1.01 μM,0.82 μM,,
73.0,> 2 μM,1.34 μM,> 2 μM,> 2 μM,1.34 μM,1.00 μM,1.62 μM,,
74.0,1.64 μM,0.81 μM,1.60 μM,> 2 μM,1.07 μM,1.15 μM,1.54 μM,,
75.0,1.21 μM,0.86 μM,1.57 μM,1.48 μM,1.33 μM,1.05 μM,1.01 μM,,
76.0,1.86 μM,1.24 μM,> 2 μM,> 2 μM,1.79 μM,1.86 μM,1.39 μM,,
77.0,1.38 μM,0.90 μM,1.68 μM,1.62 μM,1.51 μM,1.45 μM,1.18 μM,,
78.0,> 2 μM,1.29 μM,> 2 μM,> 2 μM,1.80 μM,1.53 μM,1.39 μM,,
79.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
80.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
81.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
82.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
83.0,1.60 μM,1.42 μM,1.37 μM,> 2 μM,1.50 μM,1.35 μM,1.31 μM,,
84.0,1.50 μM,0.87 μM,> 2 μM,> 2 μM,1.03 μM,0.67 μM,0.76 μM,,
85.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
86.0,1.41 μM,1.06 μM,1.36 μM,1.61 μM,1.02 μM,0.81 μM,1.26 μM,,
87.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
88.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
89.0,> 2 μM,1.84 μM,> 2 μM,> 2 μM,1.75 μM,1.27 μM,1.47 μM,,
90.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
91.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.37 μM,1.56 μM,,
92.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
93.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
94.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.53 μM,> 2 μM,,
95.0,1.29 μM,0.77 μM,1.23 μM,1.47 μM,0.98 μM,0.80 μM,1.06 μM,,
96.0,> 2 μM,1.49 μM,> 2 μM,> 2 μM,1.66 μM,1.06 μM,1.63 μM,,
97.0,1.62 μM,1.20 μM,1.91 μM,> 2 μM,1.20 μM,0.81 μM,1.27 μM,,
98.0,1.90 μM,1.38 μM,> 2 μM,> 2 μM,1.32 μM,0.84 μM,1.52 μM,,
99.0,1.12 μM,0.80 μM,1.62 μM,1.50 μM,0.85 μM,0.47 μM,0.77 μM,,
100.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
101.0,> 2 μM,1.82 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,1.93 μM,,
102.0,1.58 μM,0.83 μM,> 2 μM,> 2 μM,1.03 μM,0.77 μM,1.07 μM,,
103.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
104.0,1.50 μM,0.87 μM,> 2 μM,> 2 μM,1.03 μM,0.71 μM,1.13 μM,,
105.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
106.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,
107.0,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,> 2 μM,,

--- Table Metadata for Table5 ---
Header Row (0-indexed in sheet): 1
Last Data Row (0-indexed in sheet): 109
Number of Data Rows (Length of Table): 108
